.id,X.,Heb.je.een.Kamer.van.Koophandel.nummer.,Wat.is.jouw.professionele.titel.,Met.welke.activiteit.verdien.je.het.grootste.deel.van.je.omzet.,Waarom.heb.je.je.aangemeld.voor.dit.programma.,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Business.skills..,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Artistieke.skills...,En.hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Psychologische.skills..,Is.er.naast.Business..Artistieke.en.Psychologische.skills.nog.een.soort.skills.die.niet.genoemd.is.en.die.je.wel.erg.belangrijk.vindt..,Welke.soort.skills.mis.je.nog.in.de.voorgaande.vragen.en.wil.je.wel.op.focussen.in.de.training.die.je.gaat.doen.,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op...field.81db4bc4.62bf.4021.b511.b9f01866065f....in.de.training.die.je.gaat.volgen.,Aan.welke.onderdelen.denk.jij.het.meest.te.hebben.om.jouw.doelen.te.bereiken.,Kun.je.toelichten.waarom.je...field.a3329bb5.67ab.418c.a388.237285d8ecda...hebt.gekozen.,Wat.is.je.maandelijkse.omzet.,Welk.deel.van.je.omzet.verdien.je.met.je.creatieve.activiteiten.,In.de.komende.12.maanden.wil.ik.praktische.experimenten.doen.om.oplossingen.te.bedenken.voor.mijn.klanten.en.opdrachtgevers...,In.de.komende.12.maanden.ben.ik.van.plan.om.een.prototype.te.ontwikkelen.voor.een.product.of.dienst...,In.de.komende.12.maanden.ben.ik.van.plan.om.een.waardepropositie.te.ontwikkelen...,In.de.komende.12.maanden.ben.ik.van.plan.om.mijn.waardepropositie.te.testen.in.de.markt...,In.de.komende.12.maanden.ben.ik.van.plan.om.te.stoppen.met.mijn..bij.baan.of.veel.minder.tijd.aan.mijn..bij.baan.te.spenderen..zodat.ik.me.kan.focussen.op.mijn.onderneming...,In.de.komende.12.maanden.ben.ik.van.plan.om.mijn.eigen.geld.in.mijn.onderneming.te.investeren...,In.de.komende.12.maanden.ben.ik.van.plan.om.een..extra..zakelijke.bankrekening.te.openen.....,In.de.komende.12.maanden.ben.ik.van.plan.om.dure.apparatuur.aan.te.schaffen.voor.mijn.onderneming.....,In.de.komende.12.maanden.ben.ik.van.plan.om.te.zoeken.naar.financiering.voor.mijn.plannen......,Ik.herken.altijd.kansen,Ik.ben.creatief,Ik.kan.goed.problemen.oplossen,Ik.ben.een.goede.leider,Het.is.makkelijk.om.met.anderen.te.communiceren,Ik.heb.altijd.nieuwe.ideeën,Ik.maak.makkelijk.contact,Ik.heb.zelfvertrouwen,Ik.heb.analytisch.vermogen,Ik.ben.optimistisch,Ik.hou.van.authenticiteit..bij.jezelf.blijven.,Ik.ben.doelgericht,Ik.ben.daadkrachtig,Ik.ben.nieuwsgierig,Ik.heb.discipline,Ik.heb.sociaal.adaptatievermogen,Ik.ben.communicatief,Ik.ben.efficiënt,Ik.heb.verantwoordelijkheidsgevoel,Ik.heb.doorzettingsvermogen,Ik.heb.zelfkennis,Ik.heb.empatisch.vermogen,Ik.ben.goed.in.leiderschap,Ik.ben.stressbestendig,Ik.doe.altijd.goed.mijn.best..ook.wanneer.het.moeilijk.is,Ik.stop.veel.energie.in.het.verbeteren.van.mijn..werk.resultaten,Ik.probeer.altijd.extra.verantwoordelijkheden.te.nemen,Ik.probeer.betere.resultaten.te.halen.dan.mijn.vakgenoten,Als.ik.plannen.maak.weet.ik.zeker.dat.ze.werken,Als.ik.iets.goed.doe..komt.dat.door.mijn.vaardigheden.en.niet.door.geluk,Wat.mij.overkomt.komt.door.mijn.eigen.gedrag,Veel.ongelukkige.gebeurtenissen.in.het.leven.van.een.persoon.komen.door.pech.,Een.goede..creatieve..business.hebben.komt.voornamelijk.door.op.het.juiste.moment.op.de.juiste.plek.te.zijn,Soms.heb.ik.het.idee.dat.ik.niet.genoeg.controle.heb.over.mijn.leven,Niets.is.interessanter.dan.leven.onder.steeds.veranderende.omstandigheden,Innovatieve.mensen.en.mensen.die.risico.s.nemen.bereiken.meer.in.het.leven.dan.geordende.mensen,Als.je.echt.wilt.genieten.van.je.vakantie..moet.je.deze.goed.plannen,Hetzelfde.doen.op.dezelfde.plek.voor.een.lange.periode.leidt.tot.een.gelukkig.leven,Start.Date..UTC.,Submit.Date..UTC.,Network.ID,Tags
WerktuigPPO |  FebMar,zqhrpsqh8rhyb5synzqhrpsrp3amola6,Ja,Artiest en songwriter,Muziekcoach,"Om mijn persoonlijke vaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn omzet te vergroten,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik een (fulltime) creatieve professional wil worden,Anders",7,8,8,0,,NA,,,€ 2.000 - € 2.500,100,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Niet mee eens,Neutraal,2022-04-29 16:23:49,2022-04-29 16:37:59,fb25a900ef,NA
WerktuigPPO |  FebMar,9hkjll4acelq9js1oc3zai9hkjll4npk,Ja,Illustrator,illustraties maken,"Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Anders",8,6,7,1,time management,7,Praktische verbeterstappen zoeken,"Ik denk dat coaching gaat helpen door mij over (persoonlijke) ervaringen uit de praktijk te geven, zodat ik meer mogelijkheden zelf kan onderzoeken die gewerkt hebben voor anderen.",€ 2.500 - € 3.000,100,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Niet mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Neutraal,Niet mee eens,Mee eens,Niet mee eens,Niet mee eens,2022-04-29 07:36:21,2022-04-29 07:55:01,4336528369,NA
WerktuigPPO |  FebMar,y6hkn7ewxavb3e6mny6hkn1ey92q8wne,Ja,Interior Architect,Design,"Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",8,6,10,1,confidence,10,Persoonlijke ontwikkeling,To find my niche in the market,€ 3.500 - € 4.000,100,Mee eens,Niet mee eens,Neutraal,Niet mee eens,Neutraal,Helemaal mee eens,Niet mee eens,Niet mee eens,Helemaal mee eens,Niet mee eens,Helemaal mee eens,Mee eens,Neutraal,Niet mee eens,Neutraal,Niet mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Neutraal,Niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Niet mee eens,Neutraal,Niet mee eens,Neutraal,Mee eens,Niet mee eens,2022-04-28 21:54:43,2022-04-28 22:08:02,ef524ebc7f,NA
WerktuigPPO |  FebMar,z07940zp2eg06ypkz07945bptx6fggv0,Ja,fotograaf,fotografie bruiloften,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik een (fulltime) creatieve professional wil worden,Anders",8,5,9,0,,NA,,,€ 4.500 - € 5.000,100,Mee eens,Helemaal niet mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Neutraal,Niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Niet mee eens,Neutraal,Mee eens,Neutraal,,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,2022-04-28 16:41:24,2022-04-28 16:49:53,7c124b901d,NA
WerktuigPPO |  FebMar,5w4tezkeacdi6lb5w4tcjxa342qoows3,Ja,Fotograaf,Fotografie,"Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",8,3,6,0,,NA,,,€ 1.500 - € 2.000,100,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal niet mee eens,Mee eens,Niet mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Neutraal,Mee eens,Neutraal,Niet mee eens,Mee eens,2022-04-28 14:24:14,2022-04-28 14:32:50,a522fa494f,NA
WerktuigPPO |  FebMar,yuagwijkksy69r96kb8s9yuagwijsw8a,Ja,verbinder,zakelijke leiding,"Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Anders,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn omzet te vergroten,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik een gebrek aan zakelijke kennis heb",7,1,9,0,,NA,,,€ 4.500 - € 5.000,20,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Niet mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Niet mee eens,Helemaal mee eens,Neutraal,Niet mee eens,Neutraal,2022-04-28 07:39:48,2022-04-28 07:49:27,6c1d00da52,NA
WerktuigPPO |  FebMar,yp9vas2hjoxriohyp9vatkc1y0v3lpa6,Ja,klassiek zangeres,zingen,"Om mijn omzet te vergroten,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Anders",10,0,6,0,,NA,,,€ 1.000 - € 1.500,100,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Niet mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Niet mee eens,Helemaal niet mee eens,2022-04-27 20:40:15,2022-04-27 20:48:36,a245f5f4cb,NA
WerktuigPPO |  FebMar,l03pztbj1mctpl03pvsnxp77ahm9v50d,Ja,Schrijver,schrijven,"Om mijn persoonlijke vaardigheden te verbeteren,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn omzet te vergroten,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Anders",7,9,7,0,,NA,,,Meer dan € 5.000,100,Helemaal mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Mee eens,Helemaal niet mee eens,Niet mee eens,Niet mee eens,Helemaal mee eens,Neutraal,Niet mee eens,Mee eens,2022-04-26 18:05:27,2022-04-26 20:19:56,d24b6b577e,NA
WerktuigPPO |  FebMar,r6niru6ltzwnye07n04d6r6nirl9rl9t,Ja,Ondernemer,Ondernemen,"Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn omzet te vergroten,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",8,3,8,0,,NA,,,€ 1.500 - € 2.000,0,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Niet mee eens,Niet mee eens,Niet mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,,Mee eens,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Neutraal,Neutraal,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Niet mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,2022-04-26 18:37:33,2022-04-26 18:47:48,5a184b2209,NA
WerktuigPPO |  FebMar,f2xsvfez7okhptf2xv6p2zh3bcnxh81b,Ja,Interieur stylist,Ontwerpen,"Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Anders",8,7,7,0,,NA,,,€ 1.000 - € 1.500,90,Mee eens,Mee eens,Mee eens,Neutraal,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Neutraal,Helemaal niet mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Neutraal,Niet mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Neutraal,Niet mee eens,Mee eens,Niet mee eens,Niet mee eens,Niet mee eens,2022-04-26 12:29:33,2022-04-26 12:43:31,ec446ae7c6,NA
WerktuigPPO |  FebMar,0ddieri59ty49bpzazuk3mfg0ddieri5,Ja,producer,verhuur repetitieruimte,"Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Om mezelf meer als ondernemer te profileren,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",8,7,8,0,,NA,,,Minder dan €1.000,10,Mee eens,Niet mee eens,Mee eens,Niet mee eens,Mee eens,Mee eens,Niet mee eens,Neutraal,Niet mee eens,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Niet mee eens,Neutraal,2022-04-26 12:22:57,2022-04-26 12:36:40,9f2296dce9,NA
WerktuigPPO |  FebMar,b1s1ygc54bdy4didxxhb1s1yggl4keaa,Ja,Muzikant,Muziekdocent,"Om mijn persoonlijke vaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn omzet te vergroten,Omdat ik een gebrek aan zakelijke kennis heb,Anders",7,5,5,0,,NA,,,€ 3.500 - € 4.000,75,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal mee eens,Neutraal,Neutraal,Helemaal niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,,Neutraal,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Neutraal,Mee eens,Mee eens,Mee eens,Niet mee eens,Neutraal,Helemaal niet mee eens,Helemaal niet mee eens,2022-04-26 12:15:40,2022-04-26 12:30:52,d698155c81,NA
WerktuigPPO |  FebMar,mbnvo834qcuqkgplejmbnvov1gw80e4y,Ja,Visual identity designer,Ontwerpen,"Om mijn omzet te vergroten,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mezelf meer als ondernemer te profileren,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik een (fulltime) creatieve professional wil worden,Anders",8,10,10,0,,NA,,,€ 1.500 - € 2.000,100,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Niet mee eens,2022-04-26 12:04:40,2022-04-26 12:23:20,dbedc7a7e6,NA
WerktuigPPO |  FebMar,m9u3k0m0qhy87lk85icvqwm9u3k0m0ib,Nee,Medior ontwerper,Ontwerpen,"Om mijn persoonlijke vaardigheden te verbeteren,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik een gebrek aan zakelijke kennis heb,Om mijn omzet te vergroten,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Anders",8,8,9,0,,NA,,,Gaat je niks aan,100,Neutraal,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Niet mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Mee eens,,Niet mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Helemaal niet mee eens,2022-04-26 12:14:55,2022-04-26 12:21:14,10a8dccb20,NA
WerktuigPPO |  FebMar,nl22mprudt6evgoqnl2laqftygkazc3m,Ja,creatieve ondernemer,Creatieve concepten ontwikkelen,"Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik een gebrek aan zakelijke kennis heb,Om mezelf meer als ondernemer te profileren,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een (fulltime) creatieve professional wil worden,Anders",10,0,8,0,,NA,,,Meer dan € 5.000,100,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal mee eens,Niet mee eens,Helemaal niet mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Niet mee eens,Niet mee eens,Niet mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal niet mee eens,2022-04-26 12:04:12,2022-04-26 12:17:42,d20ccdfca7,NA
